Ligand,RECRUITER_CODE,smiles_atom_index,smile_atom
0R3,LR00279,20,C
0R3,LR00279,21,C
0R3,LR00279,22,Cl
0R3,LR00279,23,C
0R3,LR00279,24,C
0R3,LR00279,25,C
0R3,LR00279,26,C
0R3,LR00279,27,C
0R3,LR00279,28,C
0R3,LR00279,29,Cl
0R3,LR00279,30,C
0R3,LR00279,31,C
0Y7,LR00280,0,C
0Y7,LR00280,1,C
0Y7,LR00280,2,C
0Y7,LR00280,3,C
0Y7,LR00280,4,O
0Y7,LR00280,5,N
0Y7,LR00280,6,C
0Y7,LR00280,7,O
0Y7,LR00280,8,C
0Y7,LR00280,9,C
0Y7,LR00280,10,C
0Y7,LR00280,11,O
0Y7,LR00280,12,O
0Y7,LR00280,13,C
0Y7,LR00280,14,C
0Y7,LR00280,15,C
0Y7,LR00280,16,C
0Y7,LR00280,17,C
0Y7,LR00280,18,C
0Y7,LR00280,19,C
0Y7,LR00280,20,Cl
0Y7,LR00280,21,C
0Y7,LR00280,22,C
0Y7,LR00280,23,C
0Y7,LR00280,24,C
0Y7,LR00280,25,C
0Y7,LR00280,26,C
0Y7,LR00280,27,Cl
0Y7,LR00280,28,C
0Y7,LR00280,29,C
12O,LR00161,0,O
12O,LR00161,1,C
12O,LR00161,2,O
12O,LR00161,3,C
12O,LR00161,4,C
12O,LR00161,5,C
12O,LR00161,6,C
12O,LR00161,7,C
12O,LR00161,8,C
12O,LR00161,9,C
12O,LR00161,10,O
12O,LR00161,11,N
12O,LR00161,12,C
12O,LR00161,13,C
12O,LR00161,14,C
12O,LR00161,15,C
12O,LR00161,16,C
12O,LR00161,17,C
12O,LR00161,18,C
12O,LR00161,19,C
12O,LR00161,20,C
12O,LR00161,21,C
12O,LR00161,22,N
12O,LR00161,23,C
12O,LR00161,24,O
12O,LR00161,25,C
12O,LR00161,26,C
12O,LR00161,27,C
12O,LR00161,28,C
12O,LR00161,29,C
12O,LR00161,30,C
12O,LR00161,31,C
12O,LR00161,32,O
1AQ,LR00563,0,C
1AQ,LR00563,1,C
1AQ,LR00563,2,O
1AQ,LR00563,3,C
1AQ,LR00563,4,C
1AQ,LR00563,5,C
1AQ,LR00563,6,C
1AQ,LR00563,7,N
1AQ,LR00563,8,C
1AQ,LR00563,9,O
1AQ,LR00563,10,C
1AQ,LR00563,11,N
1AQ,LR00563,12,C
