RECRUITER_CODE,smiles_atom_index,smile_atom
LR00043,24,C
LR00043,25,C
LR00043,26,C
LR00043,27,C
LR00043,28,O
LR00043,29,C
LR00043,30,O
LR00043,31,N
LR00044,0,O
LR00044,1,C
LR00044,2,C
LR00044,3,C
LR00044,4,C
LR00044,5,N
LR00044,6,C
LR00044,7,O
LR00044,8,C
LR00044,9,C
LR00044,10,C
LR00044,11,C
LR00044,12,C
LR00044,13,C
LR00044,14,C
LR00044,15,O
LR00044,16,C
LR00044,17,O
LR00044,18,N
LR00045,0,O
LR00045,1,C
LR00045,2,C
LR00045,3,C
LR00045,4,C
LR00045,5,C
LR00045,6,C
LR00045,7,C
LR00045,8,O
LR00045,9,N
LR00045,10,C
LR00045,11,C
LR00045,12,C
LR00045,13,C
LR00045,14,O
LR00045,15,N
LR00045,16,C
LR00045,17,O
LR00045,18,C
LR00045,19,O
LR00046,0,C
LR00046,1,C
LR00046,2,C
LR00046,3,C
LR00046,4,C
LR00046,5,N
LR00046,6,C
LR00046,7,O
LR00046,8,C
LR00046,9,C
LR00046,10,C
LR00046,11,C
LR00046,12,C
LR00046,13,C
LR00046,14,C
LR00046,15,N
LR00046,16,C
LR00046,17,C
LR00046,18,C
LR00046,19,O
LR00046,20,N
LR00046,21,C
LR00046,22,C
LR00046,23,C
LR00046,24,C
LR00046,25,O
LR00046,26,N
LR00046,27,C
LR00046,28,O
LR00046,29,C
LR00046,30,O
LR00046,31,C
LR00046,32,C
LR00046,33,C
LR00046,34,Cl
LR00047,0,O
LR00047,1,C
LR00047,2,C
LR00047,3,C
LR00047,4,C
LR00047,5,N
LR00047,6,N
LR00047,7,C
LR00047,8,C
LR00047,9,C
LR00047,10,C
LR00047,11,C
LR00047,12,C
LR00047,13,N
LR00047,14,C
LR00047,15,O
LR00047,16,N
LR00048,0,O
LR00048,1,C
LR00048,2,C
LR00048,3,C
LR00048,4,C
LR00048,5,N
LR00048,6,C
LR00048,7,C
LR00048,8,C
LR00048,9,O
LR00048,10,C
LR00048,11,C
LR00048,12,C
LR00048,13,C
LR00048,14,C
LR00048,15,C
LR00048,16,N
LR00048,17,C
LR00048,18,C
LR00048,19,O
LR00048,20,C
LR00048,21,C
LR00048,22,C
LR00048,23,C
LR00048,24,C
LR00048,25,C
LR00048,26,C
LR00048,27,C
LR00048,28,C
LR00048,29,O
LR00048,30,C
LR00048,31,O
LR00048,32,N
LR00049,0,C
LR00049,1,C
LR00049,2,N
LR00049,3,C
LR00049,4,C
LR00049,5,C
LR00049,6,C
LR00049,7,C
LR00049,8,N
LR00049,9,C
LR00049,10,C
LR00049,11,O
LR00049,12,N
LR00049,13,C
LR00049,14,C
LR00049,15,C
LR00049,16,C
LR00049,17,O
LR00049,18,N
LR00049,19,C
LR00049,20,O
LR00050,0,O
LR00050,1,C
LR00050,2,C
LR00050,3,C
LR00050,4,C
LR00050,5,N
LR00050,6,C
LR00050,7,O
LR00050,8,C
LR00050,9,C
LR00050,10,C
LR00050,11,C
LR00050,12,C
LR00050,13,C
LR00050,14,C
LR00050,15,O
LR00050,16,C
LR00050,17,O
LR00050,18,N
LR00051,0,C
LR00051,1,O
LR00051,2,C
LR00051,3,C
LR00051,4,C
LR00051,5,C
LR00051,6,C
LR00051,7,C
LR00051,8,C
LR00051,9,C
LR00051,10,O
LR00051,11,N
LR00051,12,C
LR00051,13,O
LR00051,14,C
LR00051,15,C
LR00052,0,O
LR00052,1,C
LR00052,2,C
LR00052,3,C
LR00052,4,C
LR00052,5,N
LR00052,6,C
LR00052,7,C
LR00052,8,C
LR00052,9,C
LR00052,10,C
LR00052,11,C
LR00052,12,C
LR00052,13,N
LR00052,14,C
LR00052,15,C
LR00052,16,C
LR00052,17,C
LR00052,18,C
LR00052,19,C
LR00052,20,C
LR00052,21,C
LR00052,22,C
LR00052,23,C
LR00052,24,C
LR00052,25,C
LR00052,26,C
LR00052,27,O
LR00052,28,C
LR00052,29,O
LR00052,30,N
LR00053,0,N
LR00053,1,C
LR00053,2,C
LR00053,3,C
LR00053,4,C
LR00053,5,C
LR00053,6,S
LR00053,7,C
LR00053,8,C
LR00053,9,C
LR00053,10,C
LR00053,11,C
LR00053,12,O
LR00053,13,N
LR00053,14,C
LR00053,15,O
LR00053,16,C
LR00054,0,O
LR00054,1,C
LR00054,2,C
LR00054,3,C
LR00054,4,C
LR00054,5,C
LR00054,6,S
LR00054,7,O
LR00054,8,O
LR00054,9,C
LR00054,10,C
LR00054,11,C
LR00054,12,C
LR00054,13,C
LR00054,14,C
LR00054,15,C
LR00054,16,O
LR00054,17,N
LR00055,0,N
LR00055,1,C
LR00055,2,C
LR00055,3,C
LR00055,4,C
LR00055,5,C
LR00055,6,N
LR00055,7,C
LR00055,8,C
LR00055,9,N
LR00055,10,C
LR00055,11,C
LR00055,12,C
LR00055,13,C
LR00055,14,C
LR00055,15,C
LR00055,16,O
LR00055,17,C
LR00055,18,C
LR00055,19,C
LR00055,20,C
LR00055,21,C
LR00055,22,C
LR00055,23,C
LR00055,24,N
LR00055,25,C
LR00055,26,C
LR00055,27,C
LR00055,28,C
LR00055,29,O
LR00055,30,N
LR00055,31,C
LR00055,32,O
LR00055,33,C
LR00055,34,O
LR00055,35,C
LR00055,36,C
LR00055,37,C
LR00055,38,C
LR00055,39,C
LR00055,40,F
LR00055,41,C
LR00056,0,N
LR00056,1,C
LR00056,2,C
LR00056,3,C
LR00056,4,C
LR00056,5,C
LR00056,6,N
LR00056,7,C
LR00056,8,C
LR00056,9,N
LR00056,10,C
LR00056,11,C
LR00056,12,C
LR00056,13,C
LR00056,14,C
LR00056,15,C
LR00056,16,O
LR00056,17,C
LR00056,18,C
LR00056,19,C
LR00056,20,C
LR00056,21,C
LR00056,22,C
LR00056,23,C
LR00056,24,N
LR00056,25,C
LR00056,26,C
LR00056,27,C
LR00056,28,C
LR00056,29,O
LR00056,30,N
LR00056,31,C
LR00056,32,O
LR00056,33,C
LR00056,34,O
LR00056,35,C
LR00056,36,C
LR00056,37,C
LR00056,38,C
LR00056,39,C
LR00056,40,F
LR00056,41,C
LR00057,0,N
LR00057,1,C
LR00057,2,C
LR00057,3,C
LR00057,4,C
LR00057,5,C
LR00057,6,N
LR00057,7,C
LR00057,8,C
LR00057,9,N
LR00057,10,C
LR00057,11,C
LR00057,12,C
LR00057,13,C
LR00057,14,C
LR00057,15,C
LR00057,16,O
LR00057,17,C
LR00057,18,C
LR00057,19,C
LR00057,20,C
LR00057,21,C
LR00057,22,C
LR00057,23,C
LR00057,24,N
LR00057,25,C
LR00057,26,C
LR00057,27,C
LR00057,28,C
LR00057,29,O
LR00057,30,N
LR00057,31,C
LR00057,32,O
LR00057,33,C
LR00057,34,O
LR00057,35,C
LR00057,36,C
LR00057,37,C
LR00057,38,C
LR00057,39,C
