SMILES,RECRUITER_CODE
CC1CC[C@H](NC(O)CC[C@H]2CCCC(NC3CC(O)N([C@H]4CCC(O)N[C@H]4O)C3O)C2)CC1Cl,LR00096
NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,LR00097
CNC(O)COC1CCC([C@H]2CCC(O)NC2O)CC1,LR00098
OC1N[C@@H](O)CCN1C1CCC2CCNC2C1,LR00099
CCN[C@@H]1CC[C@H]2CC[C@@H]1N2C1CCC2C(C1)C(O)N([C@H]1CC[C@H](O)NC1O)C2O,LR00100
OC1CCN(C2CNC3CC(CN[C@@H](O)[C@@H]4C[C@@H]5CCCCC5CN4S(O)(O)CC4CCCCC4)CCN32)C(O)N1,LR00101
OC1CC[C@H]([C@H]2CCCC(C3CCCCC3)C2Cl)C(O)N1,LR00102
COC1CSC[C@H]1C1CN([C@H]2CCC(O)NC2O)NN1,LR00103
OC1CC[C@H](N2C[C@H]3CC([C@H]4CC(CN5CCCC5)C5CCNC5N4)CCC3C2O)C(O)N1,LR00104
OC1N[C@H](O)CC[C@@H]1N1CC2C3OCC4(CCNCC4)C3CC[C@@H]2[C@@H]1O,LR00105
OC1CCN([C@@H]2CNC3C4OCC5(CCNCC5)C4CCN32)C(O)N1,LR00106
CN1CCC2C1N[C@@H]([C@H]1CCC3C(C1)CN([C@H]1CCC(O)NC1O)[C@@H]3O)C[C@H]2CN1CCCC1,LR00107
OC1CC[C@H](N2CC3C[C@H]([C@@H]4CC(CN5CCCC5)C5CCN(C6COC6)C5N4)CCC3C2O)C(O)N1,LR00108
CN1NC([C@H]2CCC(O)NC2O)C2CCC(N3CCC(N(C)C4NCC(Cl)C(NC5CCC6C(C5)N(CCC(C)(C)O)C(O)N6C)N4)CC3)CC21,LR00109
OC1CC[C@H](N2CC3C[C@@H](C4(O)CCN(CC5CCCCC5)CC4)CCC3C2O)[C@@H](O)N1,LR00110
CC1CCC(NC(O)NCC2CCC3C(C2)CN([C@H]2CCC(O)N[C@H]2O)[C@@H]3O)CC1Cl,LR00111
CC1C2[C@H](C3CCC(Cl)CC3)N[C@@H](CC(O)NCCCCCCCCC(O)N[C@@H](C)C(O)N[C@H]3CCC(O)NC3O)[C@@H]3NNC(C)N3[C@@H]2S[C@@H]1C,LR00112
OC1N[C@@H](O)CC[C@@H]1N1C(O)C2CCCC(NCC3CCC(CN4CC(N5CCOCC5)C4)CC3F)C2C1O,LR00113
C[C@H]1CCCN(CC2CC(C(F)(F)F)C3NN(C4CCCC([C@]5(C6NNCN6C)C[C@@H](C)C5)C4)C(O)N3C2)C1,LR00114
C[C@H]1CCCN(CC2CC(C(F)(F)F)C3NN(C4CCCC([C@]5(C)CCNC(O)C5)C4)C(O)N3C2)C1,LR00115
CC1CC(C(O)NC2CCCC([C@]3(C)CCNC(O)O3)C2)NC(C2CC2)N1,LR00116
FC1CCCC(N2CCC[C@@H](NC3CC(N4CCOCC4)NCN3)C2)C1,LR00117
N[C@H](O)C[C@H](NC(O)[C@@H]1CNN[C@@H]1C1CCCCC1F)[C@H]1CCCC(Cl)C1,LR00118
N[C@H](O)C[C@H](NC(O)[C@@H]1CNNC1C1CCC(Cl)CC1F)[C@H]1CC[C@@H](F)C(Cl)C1,LR00119
FC1CCCCC1[C@@H]1CC2CCCCC2C2NCCN21,LR00120
FC1CCCCC1[C@@H]1CC2CCCCC2C2NCCN21,LR00121
FC1CCCCC1[C@@H]1CC2CCCCC2C2NCCN21,LR00122
FC1CCCCC1[C@@H]1CC2CCCCC2C2NCCN21,LR00123
FC1CCCCC1[C@@H]1CC2CCCCC2C2NCCN21,LR00124
NC1C[C@H](C2CCCC(OC3CCC(Cl)CC3)C2)CN1,LR00125
CC(C)(CC1CCCCC1)C1CC2CCCCC2C2NCCN21,LR00126
CC(C)(CC1CCCCC1)C1CC2CCCCC2C2NCCN21,LR00127
ClC1CCC(C2(C3C[C@@H]4CCCCC4C4NCCN43)CC2)CC1,LR00128
ClC1CCC(C2(C3C[C@@H]4CCCCC4C4NCCN43)CC2)CC1,LR00129
COC1CCC(C2(C3C[C@@H]4CC(N5CCN(C)CC5)CCC4[C@@H]4NCCN34)CC2)CC1,LR00130
COC1CCC(C2(C3NC4CC(N5CCN(C)CC5)CCC4C(NCCN)N3)CC2)CC1,LR00131
CC(O)N1CCN(C2CCC3C(C2)N[C@H](C2(C4CCC(Cl)CC4)CCCC2)NC3NCCN)CC1,LR00132
CC(O)N1CCN(C2CCC3C(C2)N[C@H](C2(C4CCC(Cl)CC4)CCCC2)NC3NCCN)CC1,LR00133
CC(O)N1CCN([C@@H]2CC[C@H]3[C@H](NCCN)N[C@@H](C4(C5CCC(Cl)CC5)CCCCC4)N[C@@H]3C2)CC1,LR00134
