Unified_Scaffold_ID,Supercluster_Key,Scaffold_Hash,Representative_Scaffold_SMILES,Representative_Murcko_SMILES,Scaffold_Class,Ligase_Count,Ligases,Ligase_Local_Scaffold_Count,Original_Scaffold_ID_Group,Recruiter_Count,Recruiter_Code_Group,Is_Cross_Ligase_Supercluster
LR-SCAF00069,335aedd3,335aedd3,C1CCC(SNCC2CCCC(CC3CCC4NNNC4C3)C2)CC1,C1CCC(SNCC2CCCC(CC3CCC4NNNC4C3)C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_14,2,LR00176;LR00187,False
LR-SCAF00081,39972972,39972972,C1CCC(C2CCCC(N3CCCN3)N2)CC1,C1CCC(C2CCCC(N3CCCN3)N2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_43,2,LR00216;LR00217,False
LR-SCAF00082,39bc19a4,39bc19a4,C1CCC(NCCC[C@H]2CCCC(NC3CCN([C@H]4CCCNC4)C3)C2)CC1,C1CCC(NCCC[C@H]2CCCC(NC3CCN([C@H]4CCCNC4)C3)C2)CC1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_12,2,LR00046;LR00096,False
LR-SCAF00088,408680a6,408680a6,N[C@H](CO)CCCCNCS,,Acyclic,1,MDM2,1,MDM2_SCAF_408680a6,2,LR00331;LR00332,False
LR-SCAF00091,414d9e31,414d9e31,C1CCC(SNC2CCC[C@H](N3NCC[C@H]3C3CC3)C2)CC1,C1CCC(SNC2CCC[C@H](N3NCC[C@H]3C3CC3)C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_30,2,LR00200;LR00207,False
LR-SCAF00093,41b88d7b,41b88d7b,C1CNC[C@@H](N2CC3CCC(N4CCOCC4)CC3C2)C1,C1CNC[C@@H](N2CC3CCC(N4CCOCC4)CC3C2)C1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_22,2,LR00082;LR00083,False
LR-SCAF00101,475e369c,475e369c,C1CCC(NC[C@@H]2NC[C@@]3(CNC4CCCCC43)[C@H]2C2CCCCC2)CC1,C1CCC(NC[C@@H]2NC[C@@]3(CNC4CCCCC43)[C@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_26,2,LR00295;LR00330,False
LR-SCAF00104,488d2785,488d2785,C1CCC([C@H]2NCN[C@H]2C2CCCCC2)CC1,C1CCC([C@H]2NCN[C@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_18,2,LR00283;LR00284,False
LR-SCAF00105,491e9e63,491e9e63,C1C[N]([Re][N]2CCNC2)CN1,C1C[N]([Re][N]2CCNC2)CN1,Bicyclic_Hetero,1,VHL,1,VHL_SCAF_25,2,LR00540;LR00549,False
LR-SCAF00114,51968811,51968811,C1CCC(C2CNC[C@@H]2C2CCCCC2)CC1,C1CCC(C2CNC[C@@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_21,2,LR00287;LR00288,False
LR-SCAF00115,52affb69,52affb69,C1CCC(CCCN2C[C@H](C3CCCCC3)C[C@H]2CNCCC2CCNCC2)CC1,C1CCC(CCCN2C[C@H](C3CCCCC3)C[C@H]2CNCCC2CCNCC2)CC1,Polycyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_76,2,LR00489;LR00491,False
LR-SCAF00119,54426dda,54426dda,C1CCC(NCCOC2CCC3CCC(CC4CCC5OCOC5C4)CC3C2)CC1,C1CCC(NCCOC2CCC3CCC(CC4CCC5OCOC5C4)CC3C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_67,2,LR00245;LR00246,False
LR-SCAF00146,667ff8dd,667ff8dd,C1CCC(CN2CN[C@@H](C3CCCCC3)[C@@H]2[C@H]2CNC3CCCCC32)CC1,C1CCC(CN2CN[C@@H](C3CCCCC3)[C@@H]2[C@H]2CNC3CCCCC32)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_44,2,LR00321;LR00322,False
LR-SCAF00157,73e3831c,73e3831c,C1CCC(NCCSC2NCC(SC3CCCCC3)CN2)CC1,C1CCC(NCCSC2NCC(SC3CCCCC3)CN2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_4,2,LR00162;LR00163,False
LR-SCAF00164,7828a6cd,7828a6cd,C1CCC(CNCCC2CNC3CCCCC23)CC1,C1CCC(CNCCC2CNC3CCCCC23)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_29,2,LR00298;LR00299,False
LR-SCAF00172,7f22b770,7f22b770,C1CCC([C@H]2CCCNC2)CC1,C1CCC([C@H]2CCCNC2)CC1,Bicyclic_Hetero,1,CRBN,1,CRBN_SCAF_15,2,LR00051;LR00098,False
LR-SCAF00173,7fb2ecd2,7fb2ecd2,C1CCC(CCC2CC3CCCCC3C3NCCN23)CC1,C1CCC(CCC2CC3CCCCC3C3NCCN23)CC1,Polycyclic_Hetero,1,DCAF1,1,DCAF1_SCAF_6,2,LR00126;LR00127,False
LR-SCAF00199,899c9c02,899c9c02,C1CCC(CN2CCC(C3CC[C@@H]4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,C1CCC(CN2CCC(C3CC[C@@H]4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_16,2,LR00052;LR00061,False
LR-SCAF00221,92f0dc5b,92f0dc5b,C1CCC(CNC[C@H]2CNC3CCCCC32)CC1,C1CCC(CNC[C@H]2CNC3CCCCC32)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_11,2,LR00272;LR00328,False
LR-SCAF00225,93b39f15,93b39f15,C1CCC(C2([C@@H]3NC[C@@H]4CC[C@@H](N5CCNCC5)C[C@H]4N3)CCCCC2)CC1,C1CCC(C2([C@@H]3NC[C@@H]4CC[C@@H](N5CCNCC5)C[C@H]4N3)CCCCC2)CC1,Polycyclic_Hetero,1,DCAF1,1,DCAF1_SCAF_11,2,LR00134;LR00135,False
LR-SCAF00234,9b07acb7,9b07acb7,C1CNC[C@@H](N2CC(C3CCSC3)NN2)C1,C1CNC[C@@H](N2CC(C3CCSC3)NN2)C1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_30,2,LR00094;LR00095,False
LR-SCAF00245,a0d1dc95,a0d1dc95,C1NCC2CNNC2N1,C1NCC2CNNC2N1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_16,2,LR00403;LR00404,False
LR-SCAF00246,a26eb8ba,a26eb8ba,C1CC2C(CCN2CCN2CC[NH2+]CC2)CN1,C1CC2C(CCN2CCN2CC[NH2+]CC2)CN1,Polycyclic_Hetero,1,XIAP,1,XIAP_SCAF_17,2,LR00576;LR00578,False
LR-SCAF00257,ab5e5c84,ab5e5c84,C1CCC(C2([C@@H]3NCC4CCC(N5CCNCC5)CC4N3)CCCC2)CC1,C1CCC(C2([C@@H]3NCC4CCC(N5CCNCC5)CC4N3)CCCC2)CC1,Polycyclic_Hetero,1,DCAF1,1,DCAF1_SCAF_10,2,LR00132;LR00133,False
LR-SCAF00285,bdf24a45,bdf24a45,C1CCC([C@H]2OC(CC3CCCCN3)CN(CC3CC3)[C@@H]2C2CCCCC2)CC1,C1CCC([C@H]2OC(CC3CCCCN3)CN(CC3CC3)[C@@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_33,2,LR00305;LR00307,False
LR-SCAF00290,c17485d6,c17485d6,C1CCC(CN[C@H]2CCNC2)CC1,C1CCC(CN[C@H]2CCNC2)CC1,Bicyclic_Hetero,1,CRBN,1,CRBN_SCAF_7,2,LR00030;LR00039,False
LR-SCAF00302,ca2a6d6b,ca2a6d6b,C1CCSCC1,C1CCSCC1,Monocyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_49,2,LR00451;LR00452,False
