Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group
KEAP1,LR-SCAF00176,1,8097b959,KEAP1_SCAF_63
KEAP1,LR-SCAF00182,1,8210da1c,KEAP1_SCAF_60
KEAP1,LR-SCAF00185,1,830437f4,KEAP1_SCAF_21
KEAP1,LR-SCAF00189,1,85047334,KEAP1_SCAF_46
KEAP1,LR-SCAF00190,1,8540716d,KEAP1_SCAF_70
KEAP1,LR-SCAF00200,1,89c06b8f,KEAP1_SCAF_66
KEAP1,LR-SCAF00204,1,8a78dae3,KEAP1_SCAF_44
KEAP1,LR-SCAF00210,1,8d6062d9,KEAP1_SCAF_26
KEAP1,LR-SCAF00213,1,8ed40683,KEAP1_SCAF_34
KEAP1,LR-SCAF00216,1,90a9b679,KEAP1_SCAF_16
KEAP1,LR-SCAF00219,1,927a5aa0,KEAP1_SCAF_40
KEAP1,LR-SCAF00229,1,972d2b1e,KEAP1_SCAF_18
KEAP1,LR-SCAF00230,1,980b70ea,KEAP1_SCAF_58
KEAP1,LR-SCAF00240,1,9e188fdd,KEAP1_SCAF_51
KEAP1,LR-SCAF00248,1,a4758722,KEAP1_SCAF_25
KEAP1,LR-SCAF00261,1,ade4826c,KEAP1_SCAF_38
KEAP1,LR-SCAF00263,1,ae7065f9,KEAP1_SCAF_54
KEAP1,LR-SCAF00268,1,b378c02e,KEAP1_SCAF_33
KEAP1,LR-SCAF00276,1,b7bf4532,KEAP1_SCAF_49
KEAP1,LR-SCAF00279,1,b91bbdb2,KEAP1_SCAF_6
KEAP1,LR-SCAF00280,1,b9bcbd87,KEAP1_SCAF_8
KEAP1,LR-SCAF00282,1,bb3f1616,KEAP1_SCAF_68
KEAP1,LR-SCAF00283,1,bc342e7d,KEAP1_SCAF_35
KEAP1,LR-SCAF00305,1,cb318e39,KEAP1_SCAF_2
KEAP1,LR-SCAF00312,1,cfa059c0,KEAP1_SCAF_57
KEAP1,LR-SCAF00322,1,d822e5ee,KEAP1_SCAF_39
KEAP1,LR-SCAF00332,1,e202be48,KEAP1_SCAF_61
KEAP1,LR-SCAF00334,1,e259aa4c,KEAP1_SCAF_53
KEAP1,LR-SCAF00335,1,e2ac831d,KEAP1_SCAF_20
KEAP1,LR-SCAF00357,1,f303ffb9,KEAP1_SCAF_69
KEAP1,LR-SCAF00364,1,f8bbb460,KEAP1_SCAF_62
KEAP1,LR-SCAF00367,1,fda7e042,KEAP1_SCAF_9
KEAP1,LR-SCAF00371,1,fe69d68f,KEAP1_SCAF_59
LIVIN,LR-SCAF00005,1,00e15ffe,LIVIN_SCAF_6
LIVIN,LR-SCAF00192,1,85813b1f,LIVIN_SCAF_1
LIVIN,LR-SCAF00231,1,9970801b,LIVIN_SCAF_7
LIVIN,LR-SCAF00247,1,a464f5cc,LIVIN_SCAF_4
LIVIN,LR-SCAF00281,1,ba1b5668,LIVIN_SCAF_5
LIVIN,LR-SCAF00294,1,c3032de8,LIVIN_SCAF_3
LIVIN,LR-SCAF00309,1,cdc82523,LIVIN_SCAF_2
MDM2,LR-SCAF00075,10,3689d426,MDM2_SCAF_17
MDM2,LR-SCAF00031,7,102917a2,MDM2_SCAF_102917a2
MDM2,LR-SCAF00333,5,e2518056,MDM2_SCAF_3
MDM2,LR-SCAF00254,4,a90fce23,MDM2_SCAF_16
MDM2,LR-SCAF00296,4,c3c0f007,MDM2_SCAF_62
MDM2,LR-SCAF00166,3,788cb04f,MDM2_SCAF_1
MDM2,LR-SCAF00187,3,836621cc,MDM2_SCAF_22
MDM2,LR-SCAF00028,2,0f02df96,MDM2_SCAF_12
MDM2,LR-SCAF00040,2,1713e683,MDM2_SCAF_31
MDM2,LR-SCAF00088,2,408680a6,MDM2_SCAF_408680a6
MDM2,LR-SCAF00101,2,475e369c,MDM2_SCAF_26
MDM2,LR-SCAF00104,2,488d2785,MDM2_SCAF_18
MDM2,LR-SCAF00114,2,51968811,MDM2_SCAF_21
MDM2,LR-SCAF00146,2,667ff8dd,MDM2_SCAF_44
MDM2,LR-SCAF00164,2,7828a6cd,MDM2_SCAF_29
MDM2,LR-SCAF00221,2,92f0dc5b,MDM2_SCAF_11
MDM2,LR-SCAF00231,2,9970801b,MDM2_SCAF_4
MDM2,LR-SCAF00285,2,bdf24a45,MDM2_SCAF_33
MDM2,LR-SCAF00341,2,e65383dc,MDM2_SCAF_54
MDM2,LR-SCAF00349,2,ee411f57,MDM2_SCAF_7
MDM2,LR-SCAF00004,1,00b85fcf,MDM2_SCAF_56
MDM2,LR-SCAF00009,1,0675e058,MDM2_SCAF_23
MDM2,LR-SCAF00018,1,0c3aa7a7,MDM2_SCAF_57
MDM2,LR-SCAF00019,1,0c44a538,MDM2_SCAF_20
MDM2,LR-SCAF00021,1,0ccf5625,MDM2_SCAF_42
MDM2,LR-SCAF00024,1,0da27555,MDM2_SCAF_27
MDM2,LR-SCAF00048,1,212e4828,MDM2_SCAF_45
MDM2,LR-SCAF00058,1,2bf86e3e,MDM2_SCAF_2bf86e3e
MDM2,LR-SCAF00062,1,2f999cf2,MDM2_SCAF_67
MDM2,LR-SCAF00072,1,35770470,MDM2_SCAF_50
MDM2,LR-SCAF00076,1,37069af6,MDM2_SCAF_35
MDM2,LR-SCAF00078,1,37b3cd5b,MDM2_SCAF_70
MDM2,LR-SCAF00086,1,3f56c184,MDM2_SCAF_8
MDM2,LR-SCAF00087,1,3fb6ede7,MDM2_SCAF_41
MDM2,LR-SCAF00089,1,40f65361,MDM2_SCAF_28
MDM2,LR-SCAF00090,1,413c3ba4,MDM2_SCAF_19
MDM2,LR-SCAF00103,1,4854b51b,MDM2_SCAF_25
MDM2,LR-SCAF00106,1,4af46abe,MDM2_SCAF_59
MDM2,LR-SCAF00110,1,4d6e1598,MDM2_SCAF_43
MDM2,LR-SCAF00112,1,5071bba5,MDM2_SCAF_49
