SMILES,Recruiter_1,Recruiter_2,Recruiter_3,Recruiter_4,Recruiter_5,Recruiter_6,Recruiter_7,Recruiter_8,Recruiter_9,Recruiter_10,Recruiter_11,Recruiter_12,Recruiter_13,Recruiter_14,Recruiter_15,Recruiter_16,Recruiter_17,Recruiter_18,Recruiter_19,Recruiter_20
CC1CNN(C[C@H]2C[NH2+][C@H](C)CN2CC(O)N2CC(C)(C)C3CNC(CC4CCCCC4)CC32)C1,LR00579,,,,,,,,,,,,,,,,,,,
CC1C[C@@H](C[C@@H](O)N2C[C@H](O)C[C@H]2C(O)NCC2CCC(C3CCCCC3)CC2)ON1,LR00496,,,,,,,,,,,,,,,,,,,
CC1C[C@@H]([C@@H](C(C)C)[C@@H](O)N2C[C@H](O)C[C@H]2C2NO[C@](C)(C3CCC([C@@H]4SCNC4C)CC3)N2)ON1,LR00533,,,,,,,,,,,,,,,,,,,
CC1C[C@H](N2CCCCC2)NC(CO)N1,LR00395,,,,,,,,,,,,,,,,,,,
CC1NC2CCCC(N)C2C(O)N1[C@H]1CC[C@H](O)NC1O,LR00049,,,,,,,,,,,,,,,,,,,
CC1NC2NC(C(C)C)CC(O)N2N1,LR00387,,,,,,,,,,,,,,,,,,,
CC1NCCN1CC1CCCC(CN)C1,LR00423,,,,,,,,,,,,,,,,,,,
CC1NCOC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2[C@H](O)CC(C)(C)C)CC1,LR00505,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CNC(O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](N2CC(C3CC3)NN2)C(C)(C)C)CC1,LR00543,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CNC(O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](NC(O)C2(F)CC2)C(C)(C)SC[C@H]2CC[C@H](CN3CCOCC3)CC2)CC1,LR00545,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CNC(O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](N[C@H](O)C2COC2)C(C)(C)C)CC1,LR00522,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CNC(O)[C@@H]2C[C@@H](O)CN2[C@@H](O)[C@@H]2C[C@@H](O)CN2C(C)O)CC1,LR00510,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2C(O)CC(C)(C)C)CC1,LR00507,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](NC(O)C2(C(C)O)CC2)C(C)(C)C)CC1,LR00519,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](NC(O)C2(CN)CC2)C(C)(C)C)CC1,LR00514,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](N[C@@H](C)O)C(C)(C)C)CC1,LR00509,LR00542,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](N[C@H](O)C2CC2)C(C)(C)C)CC1,LR00516,,,,,,,,,,,,,,,,,,,
