SMILES,Recruiter_1,Recruiter_2,Recruiter_3,Recruiter_4,Recruiter_5,Recruiter_6,Recruiter_7,Recruiter_8,Recruiter_9,Recruiter_10,Recruiter_11,Recruiter_12,Recruiter_13,Recruiter_14,Recruiter_15,Recruiter_16,Recruiter_17,Recruiter_18,Recruiter_19,Recruiter_20
CCCCCCC[C@@](C)(N)CO,LR00300,LR00312,LR00333,LR00337,LR00350,LR00351,LR00369,,,,,,,,,,,,,
CCCCN(C)C1CCS(O)(O)CC1,LR00451,LR00452,,,,,,,,,,,,,,,,,,
CCCCN[C@@H](O)CN1CCN(CCN2C(CCC3CCC(OCCCN(C)C)CC3)NC3C[C@H]([C@H]4C(C)NOC4C)CCC32)CC1,LR00547,,,,,,,,,,,,,,,,,,,
CCCC[C@@H]1CCCN1C(O)[C@H]1CCC[C@@H](C2CCCC(N3NCC(C([O-])O)C3C3CC3)C2)C1,LR00221,,,,,,,,,,,,,,,,,,,
CCCC[C@H]1CCCN1[C@@H](O)[C@H]1CCC[C@@H](C2CCCC(N3NCC(C(O)O)C3C3CC3)C2)C1,LR00199,,,,,,,,,,,,,,,,,,,
CCCN1C[C@H](CN(C)C(O)[C@@H]2C[C@H](C3CCCC3[C@@H]3CC(C(O)N(C)CC4CN(CC)NN4)SC3C)C(C)S2)NN1,LR00352,,,,,,,,,,,,,,,,,,,
CCCNC(O)CN1CCN(CCN2[C@H](CCC3CCC(OCCCN(C)C)CC3)N[C@@H]3C[C@H](C4C(C)NOC4C)CC[C@@H]32)CC1,LR00546,,,,,,,,,,,,,,,,,,,
CCCO[C@@H]1CC(OCCCCN(C)C)C[C@H](OC2CC3C(C[C@H]2NS(O)(O)C2CCC(OC)C(OC)C2)N(C)C(O)N3C)C1,LR00494,,,,,,,,,,,,,,,,,,,
CCC[C@@H]1CCCCN1C(O)C1CCCC(C2CCCC(N3NCC(C([O-])O)C3C3CC3)C2)C1F,LR00220,,,,,,,,,,,,,,,,,,,
CCC[C@@H]1CCCCN1C(O)C1CCCC(C2CCCC(N3NCC(C([O-])O)C3[C@@H]3C[C@H]3C3CN(C)NN3)C2)C1,LR00222,,,,,,,,,,,,,,,,,,,
CCC[C@H](C(O)O)N1C(O)[C@H](CC2CCC(F)CC2)O[C@@H](C2CCC(Cl)CC2)[C@H]1C1CCC(Cl)CC1,LR00291,,,,,,,,,,,,,,,,,,,
CCN(CC)C(O)C1CCCC2C(O)C3CCCCC3C21,LR00212,,,,,,,,,,,,,,,,,,,
CCN1CC(NC(O)C2CCC2)CN1,LR00461,,,,,,,,,,,,,,,,,,,
CCN1CCC2(CC2)[C@@H](OC2CCC3C(C2)CN([C@H]2CCC(O)NC2O)C3O)C1,LR00090,,,,,,,,,,,,,,,,,,,
CCN1CCCC[C@@H]1[C@@H](C)OC1CCC2C(C1)CN([C@H]1CCC(O)NC1O)C2O,LR00084,,,,,,,,,,,,,,,,,,,
CCN1C[C@H](OC2CCC3C(C2)CN([C@H]2CCC(O)NC2O)C3O)CC[C@@H]1C,LR00091,,,,,,,,,,,,,,,,,,,
CCN1NC[C@H]([C@H](O)N(C)[C@H]2C[C@@H](C3CCCC(C(F)(F)F)C3)C2)C1C1CCCCC1,LR00487,,,,,,,,,,,,,,,,,,,
CCN1NNC2C(C)C([C@@H](CC(O)O)C3CCC4CCN([C@H](O)C5CCCCC5)CC4C3)CCC21,LR00193,,,,,,,,,,,,,,,,,,,
CCN1NNC2C3CCC([N+](C)(C)C)CC3C3C(NNN3CC)C3CCC(N(C)C)CC3C21,LR00339,,,,,,,,,,,,,,,,,,,
CCN1NN[C@@H]2C3CCCCC3[C@H]3C(NNN3CC)C3CCCCC3C21,LR00319,,,,,,,,,,,,,,,,,,,
CCN1NN[C@H]2C(C)C([C@@H](CC(O)O)C3CC(C)[C@H]4CCN([C@H](O)C5CCCCC5)CC4C3)CC[C@@H]21,LR00191,LR00192,,,,,,,,,,,,,,,,,,
CCNC(O)CCC1NC[C@@H](C(O)N[C@@H](C[C@H](N)O)[C@H]2CC[C@@H](F)[C@H](Cl)C2)C1C1CCC(Cl)CC1F,LR00140,,,,,,,,,,,,,,,,,,,
CCNC1CCN(C2CCNCC2)CC1,LR00444,,,,,,,,,,,,,,,,,,,
CCN[C@@H]1CC[C@H]2CC[C@@H]1N2C1CCC2C(C1)C(O)N([C@H]1CC[C@H](O)NC1O)C2O,LR00100,,,,,,,,,,,,,,,,,,,
CCOC(O)CN1CCS(O)(O)CC1,LR00411,,,,,,,,,,,,,,,,,,,
CCOC1CC(C(C)(C)C)CCC1C1N[C@@](C)(C2CCC(Cl)CC2)[C@@](C)(C2CCC(Cl)CC2)N1,LR00285,,,,,,,,,,,,,,,,,,,
CCOC1CC(Cl)CCC1N1C(CN2CCNCC2)NC2CCC(F)CC2C1O,LR00486,,,,,,,,,,,,,,,,,,,
CCOC1CC(OC)CC[C@H]1C1N[C@@H](C2CCC(Br)CC2)[C@@H]([C@H]2CC[C@@H](Br)CC2)N1C(O)N1CCN(CCO)CC1,LR00258,LR00259,,,,,,,,,,,,,,,,,,
CCOC1CC2CC(O)N(C3CCC(C)CC3OCC3NNNN3)[C@@H](C3CCC(Cl)CC3)C2CC1OCC,LR00315,,,,,,,,,,,,,,,,,,,
CCOC1CCC(S(O)(O)NC2CC(CC(O)N3CCCC3)C(NS(O)(O)C3CCC(OCC)CC3)C3CCCCC23)CC1,LR00249,,,,,,,,,,,,,,,,,,,
CCOC1CCC(S(O)(O)N[C@H]2[C@H](C[C@H](C)O)C[C@@H](NS(O)(O)C3CCC(OCC)CC3)C3CCCC[C@@H]32)CC1,LR00169,,,,,,,,,,,,,,,,,,,
CCOC1CCCC(CN2[C@@H](C)[C@@H](N)[C@H](C3CCCC(Cl)C3F)[C@]23C(O)NC2CC(Cl)CCC23)C1,LR00325,,,,,,,,,,,,,,,,,,,
CCOC1CCCC[C@H]1N1CCNCC1,LR00422,,,,,,,,,,,,,,,,,,,
CCOC1CCCNC1CC1CCC([C@H](F)C(O)N[C@H](C2CCC(C)CC2)[C@@H](C)C(O)O)CC1,LR00235,,,,,,,,,,,,,,,,,,,
CCOCCOCC.COCCOCCOCCO,LR00588,,,,,,,,,,,,,,,,,,,
CCO[C@@H]1C[C@@H]2CN(C(O)[C@@H](NC(O)[C@H](C)NC)C3CCC(F)(F)CC3)[C@H](C(O)N[C@@H]3CCOC4CCCCC43)CN2C1,LR00563,LR00596,,,,,,,,,,,,,,,,,,
CCO[C@H](C1CC1)C1NC2C[C@@H]([C@@H]3NOC(O)N3)NC(C3CNC[C@H](Cl)C3)C2N1[C@H](C)[C@H]1CC[C@H](C)CC1,LR00365,,,,,,,,,,,,,,,,,,,
CCS(O)(O)NC1CCC(C2N[C@@H](CC(O)OC(C)(C)C)C3NNC(C)N3[C@@H]3SC(C)C(C)[C@H]23)CC1,LR00151,,,,,,,,,,,,,,,,,,,
CC[C@@H](C(O)OC(C)(C)C)N1[C@H](O)[C@@H](CC(O)O)C[C@H]([C@@H]2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00278,,,,,,,,,,,,,,,,,,,
CC[C@@H](C)OC1CC2C(CC1OC)CC(O)N(C1CCC(N(C)CC3CCNCC3)CC1)[C@H]2C1CCC(Cl)CC1,LR00317,,,,,,,,,,,,,,,,,,,
CC[C@@H](C1CCCC(C2CC2)N1)N1C(O)[C@@](C)(CC(O)O)C[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00310,,,,,,,,,,,,,,,,,,,
CC[C@@H](CO)N1C(O)[C@@H](CC(O)O)C[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00280,,,,,,,,,,,,,,,,,,,
CC[C@@H](CO)N1C(O)[C@H](CC(O)O)O[C@@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00293,,,,,,,,,,,,,,,,,,,
CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00303,,,,,,,,,,,,,,,,,,,
CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@@](C)(CC(O)O)C[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00301,,,,,,,,,,,,,,,,,,,
CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00308,,,,,,,,,,,,,,,,,,,
CC[C@@H](O)N1CCC[C@@H](NS(C)(O)O)C1,LR00477,,,,,,,,,,,,,,,,,,,
CC[C@@H](O)N1CCOC[C@H]1[C@H]1CC(Cl)CC(C2NCNC(N)N2)C1,LR00236,,,,,,,,,,,,,,,,,,,
CC[C@@H](O)NC[C@H]1CC[C@H]2CC[C@@H](C(O)NCC3CCCCC3)N2[C@H](O)[C@H]1NC(O)[C@H](C)NC,LR00602,,,,,,,,,,,,,,,,,,,
CC[C@@H]([C@H](C)O)N1C(O)[C@@](C)(CC(O)O)C[C@H]([C@@H]2CCC[C@H](Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00279,,,,,,,,,,,,,,,,,,,
CC[C@@H]1CC[C@@H](C(O)N2CCN(C(C)O)[C@H](C)C2)N1[C@@H](O)[C@@H]1SC2N[C@@](C)(C3CCC(Cl)CC3)[C@@H](C3CCC(Cl)CC3)N2C1C(C)C,LR00276,,,,,,,,,,,,,,,,,,,
CC[C@@]1(O)CCN(C2CCC(F)CN2)C1,LR00392,,,,,,,,,,,,,,,,,,,
CC[C@H](N)C(O)N[C@@H]1C(O)N2[C@@H](CC[C@@H]1CCN)CC[C@H]2C(O)NC(C1CCCCC1)C1CCCCC1,LR00561,,,,,,,,,,,,,,,,,,,
CC[C@H](N)C(O)N[C@@H]1C(O)N2[C@@H](CC[C@@H]1CN)CC[C@H]2C(O)NC(C1CCCCC1)C1CCCCC1,LR00559,,,,,,,,,,,,,,,,,,,
CC[C@H](N)C(O)N[C@H]1[C@@H](CCN)CC[C@H]2CC[C@@H](C(O)NC(C3CCCCC3)C3CCCCC3)N2[C@@H]1O,LR00591,,,,,,,,,,,,,,,,,,,
CC[C@H](N)C(O)N[C@H]1[C@@H](CO)CC[C@H]2CC[C@@H](C(O)NC(C3CCCCC3)C3CCCCC3)N2[C@@H]1O,LR00558,LR00560,,,,,,,,,,,,,,,,,,
CC[C@H](NC)C(O)N[C@@H](C1CCCCC1)C(O)N1C[C@@H]2CC3CCCC[C@@H]3N2C[C@H]1C(O)N[C@@H]1CCOC2CCCCC21,LR00600,,,,,,,,,,,,,,,,,,,
CC[C@H](NC)C(O)N[C@@H](C1CCCCC1)C(O)N1C[C@H]2CCCN2C[C@H]1C(O)N[C@@H]1CCOC2CCCCC21,LR00599,,,,,,,,,,,,,,,,,,,
CC[C@H](NC)C(O)N[C@@H]1C(O)N2[C@@H](CC[C@@H]1CCNCC1CCCCC1)CC[C@H]2C(O)NC(C1CCCCC1)C1CCCCC1,LR00592,,,,,,,,,,,,,,,,,,,
CC[C@H](NC)C(O)N[C@H]1CCCC[C@H]2CC[C@@H]([C@@H](O)NC(C3CCCCC3)C3CCCCC3)N2C1O,LR00556,,,,,,,,,,,,,,,,,,,
CC[C@H](NC)C1CCNCC1,LR00483,,,,,,,,,,,,,,,,,,,
CC[C@H](NC)[C@H](O)N[C@H]1[C@@H](CO)CC[C@H]2CC[C@@H](C(O)NCC3CCC(C(C)(C)C)CC3)N2[C@@H]1O,LR00585,,,,,,,,,,,,,,,,,,,
CC[C@H]1NN[C@H](N[C@@H](O)[C@H]2CCCO2)S1,LR00398,,,,,,,,,,,,,,,,,,,
CN(C)C(O)C1CCC2NCCCC2C1,LR00419,,,,,,,,,,,,,,,,,,,
CN(C)C(O)C1CCCC(C2CCCC(N3NCC(C([O-])O)C3C(F)(F)F)N2)C1,LR00217,,,,,,,,,,,,,,,,,,,
CN(C)C(O)C1CCCC(C2CCCC(N3NCC(C([O-])O)C3C3CC3)C2)C1,LR00218,,,,,,,,,,,,,,,,,,,
CN(C)C(O)C1CCCC2C(O)C3CCCCC3C21,LR00213,,,,,,,,,,,,,,,,,,,
CN(C)C(O)N1CCOC[C@@]12CCOC2,LR00449,,,,,,,,,,,,,,,,,,,
CN(C)C1NOC(C2CCNCC2)N1,LR00427,,,,,,,,,,,,,,,,,,,
CN(C)CCCN(C)[C@H]1CCN(C(O)C2N[C@H]3CC(Cl)CC[C@@H]3[C@H]2[C@H]2[C@H](C3CCCCC3)NCN2CC2CCC(Cl)CC2)C1,LR00267,LR00268,,,,,,,,,,,,,,,,,,
CN(C)CCCN(C)[C@H]1CCN([C@@H](O)[C@H]2NC3CC(Cl)CCC3[C@H]2[C@H]2[C@H](C3CCCCC3)NCN2CC2CC[C@@H](Cl)CC2CO)C1,LR00344,,,,,,,,,,,,,,,,,,,
CN(C)CCCN(C)[C@H]1CCN([C@H](O)C2NC3CC(Cl)CCC3C2[C@H]2C(C3CCCCC3)NCN2CC2CCC(Cl)CC2)C1,LR00374,,,,,,,,,,,,,,,,,,,
CN(C)S(O)(O)C[C@H]1CCCN(C(O)[C@H]2CNC3C(F)C(F)C(F)C(F)C32)C1,LR00004,,,,,,,,,,,,,,,,,,,
CN(C1NN[C@@H]([C@@H]2CNC3C2[C@@H](F)[C@@H](F)[C@H](F)[C@H]3F)O1)[C@H](CCN1CCCC1)C1CCCCN1,LR00002,,,,,,,,,,,,,,,,,,,
CN(CC(O)N1CCCCC1)S(C)(O)O,LR00475,,,,,,,,,,,,,,,,,,,
CN1C(O)[C@H](CC2CCCCC2)O[C@@H](C2CCC(Br)CC2)[C@H]1C1CCC(Br)CC1,LR00289,,,,,,,,,,,,,,,,,,,
CN1C(O)[C@H](CC2CCCCC2)O[C@@H](C2CCC(Cl)CC2)[C@H]1C1CCC(Cl)CC1,LR00290,,,,,,,,,,,,,,,,,,,
CN1C2CCCCC2N([C@H]2CCC(O)NC2O)[C@H]1O,LR00088,,,,,,,,,,,,,,,,,,,
CN1CC([C@@H]2C[C@H]2C2C(C([O-])O)CNN2C2CCCC(C3CCCC(C(O)N(C)C)C3)C2)NN1,LR00219,,,,,,,,,,,,,,,,,,,
CN1CCC([C@H](O)NC[C@H]2CCCO2)N1,LR00460,,,,,,,,,,,,,,,,,,,
CN1CCC2C1N[C@@H]([C@H]1CCC3C(C1)CN([C@H]1CCC(O)NC1O)[C@@H]3O)C[C@H]2CN1CCCC1,LR00107,,,,,,,,,,,,,,,,,,,
CN1CCCC2CCC(S(N)(O)O)CC21,LR00424,LR00425,,,,,,,,,,,,,,,,,,
CN1CCO[C@@H](CNC2NCCS2)C1,LR00445,,,,,,,,,,,,,,,,,,,
CN1CC[C@H](O[C@H]2CCCC(F)C2)C1O,LR00443,,,,,,,,,,,,,,,,,,,
CN1C[C@H]([C@H]2CCC(C(O)O)[C@@H](CCC(O)C3C(F)CC(C4CNNC4)CC3F)C2)CN1,LR00155,,,,,,,,,,,,,,,,,,,
CN1C[C@H]([C@H]2NCC(C(O)N[C@@H](CC(N)O)[C@H]3CC[C@@H](F)C(Cl)C3)[C@H]2C2CCC(Cl)CC2F)CN1,LR00137,,,,,,,,,,,,,,,,,,,
CN1NC([C@H]2CCC(O)NC2O)C2CCC(N3CCC(N(C)C4NCC(Cl)C(NC5CCC6C(C5)N(CCC(C)(C)O)C(O)N6C)N4)CC3)CC21,LR00109,,,,,,,,,,,,,,,,,,,
CN1NC([C@H]2CCC(O)NC2O)C2CCC(NC3CCNCC3)CC21,LR00093,,,,,,,,,,,,,,,,,,,
CN1NCC2C(NCC3CCCNC3)NC(C3CCCC(NC(S)NC4CCCC(C(F)(F)F)C4)C3)NC21,LR00005,,,,,,,,,,,,,,,,,,,
CN1NNC2CC([C@@H](CC([O-])O)C3CCC(Cl)C(CN(C)S(C)(O)O)C3)CCC21,LR00175,,,,,,,,,,,,,,,,,,,
CN1NNC2CC([C@@H](CC([O-])O)C3CCC(Cl)C(CN(C)S(O)(O)C4CCCCC4)C3)CCC21,LR00176,,,,,,,,,,,,,,,,,,,
CN1NNC2CC([C@@H](CC([O-])O)C3CCC(Cl)CC3)CCC21,LR00174,,,,,,,,,,,,,,,,,,,
CN1NNC2CC([C@H](CC([O-])O)C3CCC(Cl)CC3)CCC21,LR00184,LR00185,,,,,,,,,,,,,,,,,,
CN1[C@@H](O)C(CC2CCC(Cl)CC2)[C@H]([C@H]2CNC3C[C@H](Cl)CC[C@H]32)[C@@]1(O)CC1CCC(Cl)CC1,LR00313,,,,,,,,,,,,,,,,,,,
CNC(O)C1CCC(CNC[C@@H]2CCC(N3CCNC3)[C@H]([C@@H]3CN(CC4CCC(OC)CC4)NC3C)C2)CC1,LR00488,,,,,,,,,,,,,,,,,,,
CNC(O)C1CCC(S(N)(O)O)CC1,LR00430,,,,,,,,,,,,,,,,,,,
CNC(O)C1CCN(C(O)C2OC(S(O)(O)NC3CCC(Cl)C4C(Cl)CNC34)CC2C)CC1,LR00150,,,,,,,,,,,,,,,,,,,
CNC(O)CC[C@H](O)N1CCC[C@H]1C(O)N[C@@H]1COC(O)C2CCCC[C@H]2CSC[C@H]([C@@H](O)N(C)C)NC1O,LR00224,,,,,,,,,,,,,,,,,,,
CNC(O)COC1CCC([C@H]2CCC(O)NC2O)CC1,LR00098,,,,,,,,,,,,,,,,,,,
CNC(O)C[C@H](NC(O)[C@@H]1CCC[C@H]1N[C@@H](O)[C@@H]1NNC2CCCCC21)C1CCCCC1OC,LR00001,,,,,,,,,,,,,,,,,,,
CNC(O)C[C@H](NC(O)[C@@H]1C[C@@H](O)CN1C(O)[C@@H](NC(O)C1(F)CC1)C(C)(C)C)C1CCC([C@@H]2SCNC2C)CC1,LR00529,,,,,,,,,,,,,,,,,,,
CNC(O)[C@@H]1C[C@@H](O)CN1C(C)O,LR00499,,,,,,,,,,,,,,,,,,,
CNC(O)[C@@H]1C[C@@H](O)CN1C(O)C[C@@H]1CC(C)NO1,LR00503,,,,,,,,,,,,,,,,,,,
CNC(O)[C@H](CC1CCNCC1)NC(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(O)C[C@H](N)C1CCCCC1OC,LR00489,,,,,,,,,,,,,,,,,,,
CNC(O)[C@H](CC1CCNCC1)NC(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(O)C[C@H](N)C1CCCCC1OCCOCCO,LR00491,,,,,,,,,,,,,,,,,,,
CNC(O)[C@H](CC1CCNCC1)NC(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(O)C[C@H](N)C1CCCO1,LR00490,,,,,,,,,,,,,,,,,,,
CNC1CCCCC1S(C)(O)O,LR00418,,,,,,,,,,,,,,,,,,,
CNS(O)(O)CC1CC(C)ON1,LR00440,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@@H](C1CCCCC1)C(O)N1CCC[C@H]1C1NC(C(O)C2CCC(F)CC2)CS1,LR00603,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@@H](C1CCCCC1)C(O)N1CCC[C@H]1C1NC(C2CCCC3CCCCC32)CS1,LR00254,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@@H](C1CCCCC1)C(O)N1CCC[C@H]1C1NC2C(CCCC2C2CCCCC2)S1,LR00255,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@@H](C1CCCCC1)C(O)N1CC[C@H](C)[C@H]1C(O)NC1CCCCC1C1NCCCN1,LR00562,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@@H](C1CCCCC1)C(O)N1C[C@H]2CCCN2C[C@H]1C(O)N[C@@H]1CCOC2CCCCC21,LR00598,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@@H](C1CCCCC1)C(O)N1C[C@H]2CCCN2C[C@H]1[C@@H](O)N[C@@H]1CCCC2CCCCC21,LR00595,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@@H](C1CCCCC1)[C@@H](O)N1C[C@H]2C[C@@H]3C[C@@H]3N2C[C@H]1C(O)N[C@@H]1CCOC2CCCCC21,LR00597,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@@H]1CCC[C@H]2SC(C)(C)[C@@H](C(O)NC3CC(C)NN3C3CCCCC3)N2C1O,LR00251,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@H](C(O)N1CCC[C@H]1C(O)N[C@@H]1CCCC2CCCCC21)C(C)(C)C,LR00554,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@H](C(O)N1CC[C@H]2CC[C@H](NC(O)C(C3CCCCC3)C3CCCCC3)[C@H]21)C(C)(C)C,LR00252,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@H](C(O)N1CC[C@H]2CC[C@H](NC(O)C3CCCC4CCCCC43)[C@H]21)C(C)(C)C,LR00253,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)C(O)N[C@H](C(O)N1C[C@@H](OC2CCCCC2)C[C@H]1C(O)N[C@@H]1CCCC2CCCCC21)C(C)(C)C,LR00555,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)[C@H](O)N[C@@H]1C(O)N(CC2C(OC)CCC3CC(C(O)O)CCC32)C2CCCC[C@@H]2OC12CCOCC2,LR00565,,,,,,,,,,,,,,,,,,,
CN[C@@H](C)[C@H](O)N[C@H]1CN([C@@H](O)C2CCC(N)CC2)[C@@H]2CCCCC2N(CC2C(OC)CCC3CCCCC32)[C@@H]1O,LR00564,,,,,,,,,,,,,,,,,,,
COC(O)CCCNC(O)C1CC2CCCC2NC1O,LR00153,,,,,,,,,,,,,,,,,,,
COC(O)N1CCN(C2CCC(F)CC2)CC1,LR00415,,,,,,,,,,,,,,,,,,,
COC(O)[C@@H]1C[C@@H](O)CN1C(O)C1CCCO1,LR00472,,,,,,,,,,,,,,,,,,,
COC1C(N)C(F)CC([C@H](O)N[C@H]2CC[C@H](O)N[C@@H]2O)[C@H]1F,LR00071,,,,,,,,,,,,,,,,,,,
COC1CC(C2SCNC2C)C(F)CC1[C@H](C)NC(O)[C@@H]1C[C@@H](O)CN1C(O)[C@@H](NC(O)C1(F)CC1)C(C)(C)C,LR00537,,,,,,,,,,,,,,,,,,,
COC1CC([C@@H](CC([O-])O)C2CCC(C)C(CN(C)S(O)(O)C3CCCCC3)C2)CC2NNN(C)C21,LR00187,,,,,,,,,,,,,,,,,,,
COC1CC([C@@H](CC([O-])O)C2CCC(C)C(CN3CCOC4CCCCC4S3(O)O)C2)CC2NNN(C)C21,LR00188,,,,,,,,,,,,,,,,,,,
COC1CC([C@@H](CC([O-])O)C2CCC(C)C(CN3C[C@@H](C)OC4CCCCC4S3(O)O)C2)CC2NNN(C)C21,LR00177,,,,,,,,,,,,,,,,,,,
COC1CC2(C1)CN(C1CC(Cl)[C@H](C(O)N3COC4C(CCC[C@@H]4[C@@H]4CC(N5[C@@H]6CC[C@H]5COC6)C(C([O-])O)C[C@H]4F)C3)[C@@H](Cl)C1)C2,LR00250,,,,,,,,,,,,,,,,,,,
COC1CC2CC(O)N(C3CCC(N(C)C[C@H]4CC[C@H](N5CCN(C)C(O)C5)CC4)CC3)[C@@H](C3CCC(Cl)CC3)C2CC1OC(C)C,LR00316,,,,,,,,,,,,,,,,,,,
COC1CCC(C2(C3C[C@@H]4CC(N5CCN(C)CC5)CCC4[C@@H]4NCCN34)CC2)CC1,LR00130,,,,,,,,,,,,,,,,,,,
COC1CCC(C2(C3NC4CC(N5CCN(C)CC5)CCC4C(NCCN)N3)CC2)CC1,LR00131,,,,,,,,,,,,,,,,,,,
COC1CCC(C2N[C@@H](C3CCC(Cl)CC3)[C@@H]([C@H]3CC[C@H](Cl)CC3)N2C(O)N2CCNC(O)C2)C(OC(C)C)C1,LR00375,LR00376,LR00377,,,,,,,,,,,,,,,,,
COC1CCC(N)C2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00064,,,,,,,,,,,,,,,,,,,
COC1CCC(S(O)(O)N(CC(N)O)C2CCC(N(CC(N)O)S(O)(O)C3CCC(OC)CC3)C3CCCCC32)CC1,LR00168,,,,,,,,,,,,,,,,,,,
COC1CCC(S(O)(O)N(CC(N)O)C2CC[C@@H](N(C[C@H](N)O)S(O)(O)C3CCC(N)CC3)C3CCCCC32)CC1,LR00228,,,,,,,,,,,,,,,,,,,
COC1CCC(S(O)(O)N(CC(O)O)C2NC[C@H](N(CC(F)(F)F)S(O)(O)C3CCC(OC)CC3)C3CCCC[C@@H]32)CC1,LR00194,,,,,,,,,,,,,,,,,,,
COC1CCC(S(O)(O)N(CC([O-])O)[C@H]2CC[C@@H](N(CC([O-])O)S(O)(O)C3CCC(OC)CC3)C(OCC3CCCCC3)C2)CC1,LR00182,,,,,,,,,,,,,,,,,,,
COC1CCC(S(O)(O)N2CCC3CCC([C@@H](NC(O)C4CCCC5C(O)C6CCCCC6C45)C(O)O)CC3C2)CC1,LR00240,,,,,,,,,,,,,,,,,,,
COC1CCC(S(O)(O)NCC2CCCC([C@@H](NC(O)C3CCCC4C(O)C5CCCCC5C34)C(O)O)C2)CC1,LR00239,,,,,,,,,,,,,,,,,,,
COC1CCC(S(O)(O)N[C@@H]2CC[C@@H](N(CC(O)O)S(O)(O)C3CCC(OC)CC3)C3CCCCC32)CC1,LR00195,,,,,,,,,,,,,,,,,,,
COC1CCC(S(O)(O)N[C@H]2CC[C@@H](NS(O)(O)C3CCC(OC)CC3)C3CCCCC32)CC1,LR00164,,,,,,,,,,,,,,,,,,,
COC1CCC([C@@H]2N[C@@H](C3CCC(Cl)CC3)[C@@H]([C@H]3CC[C@@H](Cl)CC3)N2C(O)N2CCNC(O)C2)C(OC(C)C)C1,LR00281,LR00282,LR00320,LR00335,LR00336,LR00359,LR00360,LR00361,LR00370,LR00371,,,,,,,,,,
COC1CCC([C@H]2CCC(O)NC2O)CC1,LR00051,,,,,,,,,,,,,,,,,,,
COC1CCC([C@H]2N[C@@H](C3CC[C@H](Cl)C(Cl)C3)[C@@H]([C@H]3CCC(Cl)C(Cl)C3)N2C(O)N2CCNC(O)C2)C(OC(C)C)C1,LR00366,,,,,,,,,,,,,,,,,,,
COC1CCCC2C(C(O)N[C@H]3CCN(C4CCC(C)CC4)C3)CNC12,LR00349,,,,,,,,,,,,,,,,,,,
COC1CCCCC1C1C[C@]2(CCC(O)NC2O)ON1,LR00075,,,,,,,,,,,,,,,,,,,
COC1CCCCC1N1NC2C(C1C(C)C)[C@H](C1CCC(Cl)CC1C)N(C1CC(Cl)CCC1OCCN(C)C)C2O,LR00327,,,,,,,,,,,,,,,,,,,
COC1CCCCC1[C@H](O)CCC1CCCCC1C(O)O,LR00154,,,,,,,,,,,,,,,,,,,
COC1CCCC[C@H]1C1NNCO1,LR00413,,,,,,,,,,,,,,,,,,,
COC1CCC[C@@H](S(O)(O)N(CC(O)O)C2CCC[C@H](N3NC[C@H](C(O)O)[C@H]3C3CC3)C2)C1,LR00207,,,,,,,,,,,,,,,,,,,
COC1CCC[C@@H](S(O)(O)N(CC(O)O)[C@H]2CCCC(N3NCC(C(O)O)C3[C@H]3C[C@@H]3C3CCCCC3)C2)C1,LR00208,,,,,,,,,,,,,,,,,,,
COC1CC[C@@H](C2C[C@]3(CC[C@H](O)N[C@H]3O)ON2)[C@H](OC)C1OC,LR00076,,,,,,,,,,,,,,,,,,,
COC1CC[C@@H](C2N[C@@H](C3CCC(Cl)CC3)[C@@H](C3CCC(Cl)CC3)N2C(O)N2CCNC(O)C2C)[C@H](OC(C)C)C1,LR00367,,,,,,,,,,,,,,,,,,,
