RECRUITER_CODE,SMILES,Canonical_SMILES,Formula,MW,Exact_MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Atom_Count,Chiral_Atoms,Formal_Charge,QED,SA_Score,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,Lipinski_Violations,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits,Reactive_SMARTS_Hits
LR00296,COC1C[C@H](C(N)O)CCC1NC(O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(O)NC3CC(Cl)SC32)[C@H]1C1CCCC(Cl)C1F,COC1C[C@H](C(N)O)CCC1NC(O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(O)NC3CC(Cl)SC32)[C@H]1C1CCCC(Cl)C1F,C29H51Cl2FN4O4S,641.7220000000001,640.299210692,2.840600000000001,132.03,9,7,7,5,0,1.0,41,41,16,0,0.16575784146253164,,907.3680306986105,0.5399999999999998,32.91909811679646,12.737557679914085,6.201290110630425,1,0,5,0,5,12,162.41489999999968,2,False,True,False,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00297,CC(C)(C)NC(O)[C@@]1([C@@H]2C3CCC(Cl)CC3NC2C(O)O)N2[C@H](O)[C@]21C1CCC(OCC2CCC(Cl)CC2)CC1,CC(C)(C)NC(O)[C@@]1([C@@H]2C3CCC(Cl)CC3NC2C(O)O)N2[C@H](O)[C@]21C1CCC(OCC2CCC(Cl)CC2)CC1,C30H51Cl2N3O5,604.66,603.3205770919999,2.865900000000001,117.22000000000001,8,6,8,6,0,1.0,40,40,10,0,0.1424433503154816,,908.2653031540048,0.2599999999999999,30.293207652393424,11.006375165670539,4.886469874245313,0,0,6,0,6,10,154.90959999999976,2,False,True,True,False,False,None,Three-membered_heterocycle; alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00298,CC(C)C[C@H](N[C@H](C1C2CCC(Cl)CC2N[C@H]1[C@@H](O)NO)[C@@H](O)NCC1CCCCC1)[C@@H](O)NO,CC(C)C[C@H](N[C@H](C1C2CCC(Cl)CC2N[C@H]1[C@@H](O)NO)[C@@H](O)NCC1CCCCC1)[C@@H](O)NO,C24H48ClN5O5,522.1310000000002,521.3343973159999,0.8061000000000034,161.29999999999998,10,10,13,3,0,1.0,35,35,10,0,0.09528541714211346,,616.8539095079848,-0.11000000000000007,29.446033149625155,14.155799868645827,7.938557453323478,0,0,3,0,3,11,133.7929000000001,2,False,False,False,False,False,None,Oxygen-nitrogen_single_bond; alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00299,CC(C)C[C@H](N[C@H](C1C2CCC(Cl)CC2N[C@H]1[C@@H](O)NO)[C@@H](O)NCC1CCCCC1)[C@@H](O)NO,CC(C)C[C@H](N[C@H](C1C2CCC(Cl)CC2N[C@H]1[C@@H](O)NO)[C@@H](O)NCC1CCCCC1)[C@@H](O)NO,C24H48ClN5O5,522.1310000000002,521.3343973159999,0.8061000000000034,161.29999999999998,10,10,13,3,0,1.0,35,35,10,0,0.09528541714211346,,616.8539095079848,-0.11000000000000007,29.446033149625155,14.155799868645827,7.938557453323478,0,0,3,0,3,11,133.7929000000001,2,False,False,False,False,False,None,Oxygen-nitrogen_single_bond; alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00300,CCCCCCC[C@@](C)(N)CO,CCCCCCC[C@@](C)(N)CO,C10H23NO,173.29999999999998,173.177964356,2.0566,46.25,2,2,7,0,0,1.0,12,12,1,0,0.5787933121168259,,102.01170173144865,-0.08,11.920000000000002,6.4375550422222005,6.619056743012787,0,0,0,0,0,2,53.05420000000003,0,True,True,True,False,False,None,Aliphatic_long_chain,None
LR00301,CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@@](C)(CC(O)O)C[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@@](C)(CC(O)O)C[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,C28H53Cl2NO5S,586.7070000000002,585.302150156,6.625300000000008,104.39000000000001,6,5,8,3,0,1.0,37,37,7,0,0.16170588186605858,,729.8512927049168,0.69,32.20767410583952,12.688390400328664,7.507214689652952,0,0,3,0,3,9,155.43599999999975,2,False,True,False,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00302,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,C27H49Cl2NO6S,586.6630000000001,585.265764648,5.3665000000000065,113.62000000000002,7,5,8,4,0,1.0,37,37,7,0,0.19211939736850722,,742.8982171438756,0.6499999999999999,30.604961579136088,12.255382923904598,7.297893759414611,0,0,4,0,4,10,150.31599999999978,2,False,True,True,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00303,CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,C26H49Cl2NO6S,574.6520000000002,573.265764648,5.3665000000000065,113.62000000000002,7,5,8,3,0,1.0,36,36,7,0,0.19580392609192274,,687.8357789863818,0.6499999999999999,31.18128802116717,12.878562466479464,7.433650505468665,0,0,3,0,3,10,147.8829999999998,2,False,True,True,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00304,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1[C@H](C2CCC(Cl)C(F)C2)[C@@H](C2CCCC(Cl)C2)C[C@](C)(CC2NCC(CC(O)O)S2)[C@H]1O,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1[C@H](C2CCC(Cl)C(F)C2)[C@@H](C2CCCC(Cl)C2)C[C@](C)(CC2NCC(CC(O)O)S2)[C@H]1O,C33H59Cl2FN2O5S2,717.8820000000003,716.3226485680001,6.99450000000001,116.42000000000002,8,6,10,5,0,1.0,45,45,12,0,0.10588313924270341,,993.233949960667,0.9299999999999998,37.1917103159324,14.651003100101853,8.634291099840006,0,0,5,0,5,12,185.93469999999948,3,False,True,False,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00305,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@](C)(CC2CCC(C(O)O)CN2)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@](C)(CC2CCC(C(O)O)CN2)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,C33H60Cl2N2O6S,683.824,682.3549139999999,6.124800000000008,125.65000000000002,8,6,9,5,0,1.0,44,44,9,0,0.12686683103217594,,937.7295333856425,0.6099999999999999,35.90485311913956,14.223781594147045,8.07049791035101,0,0,5,0,5,11,179.44769999999951,3,False,True,False,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00306,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@](C)(C[C@H]2CCC(C(O)O)CN2)C[C@H](C2CCCC(Cl)C2)[C@H]1[C@H]1CC[C@H](Cl)CC1,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@](C)(C[C@H]2CCC(C(O)O)CN2)C[C@H](C2CCCC(Cl)C2)[C@H]1[C@H]1CC[C@H](Cl)CC1,C34H62Cl2N2O5S,681.852,680.375649444,6.993500000000009,116.42000000000002,7,6,9,5,0,1.0,44,44,9,0,0.11481073125636886,,935.1209372518501,0.6499999999999999,35.943823258820636,14.248288328340918,8.086844612029449,0,0,5,0,5,10,182.38369999999946,3,False,True,False,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00307,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@](C)(CC2CCC(C(O)O)CN2)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@](C)(CC2CCC(C(O)O)CN2)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,C33H60Cl2N2O6S,683.824,682.3549139999999,6.124800000000008,125.65000000000002,8,6,9,5,0,1.0,44,44,9,0,0.12686683103217594,,937.7295333856425,0.6099999999999999,35.90485311913956,14.223781594147045,8.07049791035101,0,0,5,0,5,11,179.44769999999951,3,False,True,False,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00308,CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,CC[C@@H](CS(O)(O)C(C)(C)C)N1C(O)[C@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,C26H49Cl2NO6S,574.6520000000002,573.265764648,5.3665000000000065,113.62000000000002,7,5,8,3,0,1.0,36,36,7,0,0.19580392609192274,,687.8357789863818,0.6499999999999999,31.18128802116717,12.878562466479464,7.433650505468665,0,0,3,0,3,10,147.8829999999998,2,False,True,True,False,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
