RECRUITER_CODE,MasterRecruiter,Ligand
LR00520,LR00520,9BK
LR00519,LR00519,9BN
LR00515,LR00515,9BT
LR00516,LR00516,9BW
LR00331,LR00331,9E7
LR00332,LR00331,9E7
LR00051,LR00051,9FT
LR00226,LR00226,9IB
LR00562,LR00562,9JZ
LR00227,LR00227,9P0
LR00152,LR00152,9QU
LR00329,LR00329,9QW
LR00446,LR00446,A01
LR00399,LR00399,A02
LR00434,LR00434,A03
LR00436,LR00436,A04
LR00387,LR00387,A06
LR00427,LR00427,A07
LR00417,LR00417,A08
LR00410,LR00410,A09
LR00393,LR00393,A10
LR00416,LR00416,A11
LR00394,LR00394,A12
LR00444,LR00444,A13
LR00419,LR00419,A14
LR00480,LR00480,A15
LR00460,LR00460,A16
LR00449,LR00449,A17
LR00392,LR00392,A18
LR00445,LR00445,A20
LR00458,LR00458,A21
LR00451,LR00451,A23
LR00452,LR00451,A23
LR00457,LR00457,A24
LR00476,LR00476,A25
LR00453,LR00453,A26
LR00407,LR00407,A28
LR00465,LR00465,A29
LR00473,LR00473,A30
LR00408,LR00408,A31
LR00477,LR00477,A32
LR00400,LR00400,A34
LR00401,LR00400,A34
LR00442,LR00442,A35
LR00094,LR00094,A36
LR00095,LR00095,A37
LR00103,LR00103,A38
LR00102,LR00102,A39
LR00093,LR00093,A40
LR00236,LR00236,A41
LR00486,LR00486,A42
LR00101,LR00101,A43
LR00584,LR00584,A4E
LR00551,LR00551,A51
LR00106,LR00106,A52
LR00105,LR00105,A53
LR00110,LR00110,A54
LR00104,LR00104,A55
LR00107,LR00107,A56
LR00108,LR00108,A57
LR00140,LR00140,A58
LR00141,LR00141,A59
LR00109,LR00109,A60
LR00487,LR00487,A61
LR00075,LR00075,A65
LR00072,LR00072,A66
LR00074,LR00074,A67
LR00076,LR00076,A68
LR00238,LR00238,A69
LR00237,LR00237,A70
LR00149,LR00149,A71
LR00150,LR00150,A72
LR00239,LR00239,A73
LR00240,LR00240,A74
LR00546,LR00546,A75
LR00547,LR00547,A76
LR00544,LR00544,A77
LR00545,LR00545,A78
LR00078,LR00078,A79
LR00099,LR00099,A81
LR00098,LR00098,A82
LR00242,LR00242,A83
LR00550,LR00550,A84
LR00243,LR00243,A85
LR00100,LR00100,A86
LR00003,LR00003,A87
LR00004,LR00004,A88
LR00492,LR00492,A89
LR00001,LR00001,A90
LR00002,LR00002,A91
LR00245,LR00245,A92
LR00246,LR00246,A93
LR00247,LR00247,A94
LR00490,LR00490,A95
LR00244,LR00244,A96
LR00248,LR00248,A97
LR00553,LR00553,A98
LR00552,LR00552,A99
LR00366,LR00366,AU0
LR00488,LR00488,B00
LR00489,LR00489,B01
LR00491,LR00491,B02
LR00005,LR00005,B07
LR00112,LR00112,B08
LR00241,LR00241,B0A
LR00234,LR00234,B13
LR00235,LR00235,B14
LR00249,LR00249,B15
LR00250,LR00250,B16
LR00117,LR00117,B1I
LR00421,LR00421,B1J
LR00373,LR00373,B21
LR00328,LR00328,B5K
LR00556,LR00556,BI6
LR00277,LR00277,BLF
LR00592,LR00592,BMB
LR00602,LR00602,C3K
LR00585,LR00585,C3T
LR00257,LR00257,CHG
LR00589,LR00257,CHG
LR00594,LR00257,CHG
LR00557,LR00557,CO9
LR00114,LR00114,D00
LR00115,LR00115,D01
LR00116,LR00116,D02
LR00378,LR00378,D03
LR00154,LR00154,D5U
LR00155,LR00155,D60
LR00181,LR00181,D8N
LR00260,LR00260,DIZ
LR00015,LR00015,DUR
LR00523,LR00523,DV2
LR00524,LR00524,DV5
LR00525,LR00525,DV8
LR00088,LR00088,E00
LR00089,LR00089,E01
LR00090,LR00090,E02
LR00341,LR00341,E03
LR00091,LR00091,E04
LR00092,LR00092,E05
LR00113,LR00113,E06
LR00136,LR00136,E07
LR00137,LR00137,E08
LR00138,LR00138,E09
LR00139,LR00139,E10
LR00398,LR00398,E14
LR00433,LR00433,E15
LR00462,LR00462,E16
LR00475,LR00475,E17
LR00483,LR00483,E18
LR00543,LR00543,E19
LR00006,LR00006,EF2
LR00010,LR00006,EF2
LR00012,LR00006,EF2
LR00016,LR00006,EF2
LR00017,LR00006,EF2
