Ligase,Scaffold_ID,Original_Scaffold_ID,RECRUITER_CODE,Scaffold_SMILES,Scaffold_Hash
CRBN,LR-SCAF00150,CRBN_SCAF_6,LR00071,C1CCC(CN[C@H]2CCCNC2)CC1,6e3a2581
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00072,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00073,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00074,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00075,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00022,CRBN_SCAF_20,LR00076,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,0d0ae2c3
CRBN,LR-SCAF00183,CRBN_SCAF_18,LR00077,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,826062c2
CRBN,LR-SCAF00236,CRBN_SCAF_21,LR00078,C(CCCN1CCC(C2CCCC3CN([C@H]4CCCNC4)CC32)CC1)CCCN1CC(C2CCC3C(C2)[C@H](C2CCCCC2)NC2(CC2)C2NNCN32)CN1,9b8d5329
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00079,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00183,CRBN_SCAF_18,LR00080,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,826062c2
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00081,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00093,CRBN_SCAF_22,LR00082,C1CNC[C@@H](N2CC3CCC(N4CCOCC4)CC3C2)C1,41b88d7b
CRBN,LR-SCAF00093,CRBN_SCAF_22,LR00083,C1CNC[C@@H](N2CC3CCC(N4CCOCC4)CC3C2)C1,41b88d7b
CRBN,LR-SCAF00241,CRBN_SCAF_23,LR00084,C1CC[C@H](COC2CCC3CN([C@H]4CCCNC4)CC3C2)NC1,9eaa5b88
CRBN,LR-SCAF00318,CRBN_SCAF_4,LR00085,C1CC2CN([C@H]3CCCNC3)CC2C(OCC2CCC(CN3CCOCC3)CC2)C1,d3e00a53
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00086,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00087,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00366,CRBN_SCAF_24,LR00088,C1CCC2C(C1)NCN2[C@H]1CCCNC1,fbabac0e
CRBN,LR-SCAF00251,CRBN_SCAF_25,LR00089,C1CCC(N2CCCC3CNC(NC4CCC(SC5CC6(CCN(CC7CCN([C@@H]8CCC9C(C8)NCN9[C@@H]8CCCNC8)CC7)CC6)C5)CC4)NC32)C1,a69df939
CRBN,LR-SCAF00205,CRBN_SCAF_26,LR00090,C1CNC[C@@H](N2CC3CCC(O[C@H]4CNCCC45CC5)CC3C2)C1,8ad7ce01
CRBN,LR-SCAF00151,CRBN_SCAF_27,LR00091,C1CNC[C@H](OC2CCC3CN([C@H]4CCCNC4)CC3C2)C1,6f5e9f96
CRBN,LR-SCAF00142,CRBN_SCAF_28,LR00092,C1CCC(CN2CCC3(CC2)COC2[C@H]3CC[C@@H]3CN([C@H]4CCCNC4)C[C@@H]23)CC1,6317954b
CRBN,LR-SCAF00163,CRBN_SCAF_29,LR00093,C1CNC[C@@H](C2NNC3CC(NC4CCNCC4)CCC32)C1,779a246f
CRBN,LR-SCAF00234,CRBN_SCAF_30,LR00094,C1CNC[C@@H](N2CC(C3CCSC3)NN2)C1,9b07acb7
CRBN,LR-SCAF00234,CRBN_SCAF_30,LR00095,C1CNC[C@@H](N2CC(C3CCSC3)NN2)C1,9b07acb7
CRBN,LR-SCAF00082,CRBN_SCAF_12,LR00096,C1CCC(NCCC[C@H]2CCCC(NC3CCN([C@H]4CCCNC4)C3)C2)CC1,39bc19a4
CRBN,LR-SCAF00372,CRBN_SCAF_1,LR00097,C1CCC2CN([C@H]3CCCNC3)CC2C1,fff95c25
CRBN,LR-SCAF00172,CRBN_SCAF_15,LR00098,C1CCC([C@H]2CCCNC2)CC1,7f22b770
CRBN,LR-SCAF00320,CRBN_SCAF_31,LR00099,C1CNCN(C2CCC3CCNC3C2)C1,d5b01f0f
CRBN,LR-SCAF00117,CRBN_SCAF_32,LR00100,C1CNC[C@@H](N2CC3CCC(N4[C@@H]5CCC[C@H]4CC5)CC3C2)C1,53e91f1f
