Unified_Scaffold_ID,Scaffold_Hash,Original_Scaffold_ID
LR-SCAF00313,d000c614,MDM2_SCAF_30
LR-SCAF00314,d01f36bc,XIAP_SCAF_15
LR-SCAF00315,d068cd94,CRBN_SCAF_3
LR-SCAF00316,d191821e,DCAF1_SCAF_1
LR-SCAF00317,d360b04b,XIAP_SCAF_9
LR-SCAF00318,d3e00a53,CRBN_SCAF_4
LR-SCAF00319,d442e4d3,HUWE1_SCAF_1
LR-SCAF00320,d5b01f0f,CRBN_SCAF_31
LR-SCAF00321,d6c24203,KEAP1_SCAF_15
LR-SCAF00322,d822e5ee,KEAP1_SCAF_39
LR-SCAF00323,da899d9b,TRIM21_SCAF_33
LR-SCAF00324,da95e4c9,TRIM21_SCAF_26
LR-SCAF00325,dd6e25dc,TRIM21_SCAF_6
LR-SCAF00326,de9a4163,cIAP1_SCAF_8
LR-SCAF00327,dff1bb21,MDM2_SCAF_69
LR-SCAF00328,dff42204,DCAF1_SCAF_2
LR-SCAF00329,e142496b,DCAF15_SCAF_2
LR-SCAF00330,e14c9710,VHL_SCAF_12
LR-SCAF00331,e1a2b3c4,MDM2_SCAF_63
LR-SCAF00332,e202be48,KEAP1_SCAF_61
LR-SCAF00333,e2518056,MDM2_SCAF_3
LR-SCAF00334,e259aa4c,KEAP1_SCAF_53
LR-SCAF00335,e2ac831d,KEAP1_SCAF_20
LR-SCAF00336,e2b60216,CRBN_SCAF_19
LR-SCAF00337,e3a2391e,Cbl-b_SCAF_3
LR-SCAF00338,e3aa9b75,MDM2_SCAF_46
LR-SCAF00339,e41f6f1c,DCAF1_SCAF_8
LR-SCAF00340,e48c70e3,CRBN_SCAF_17
LR-SCAF00341,e65383dc,MDM2_SCAF_54
LR-SCAF00342,e7872517,MDM2_SCAF_9
LR-SCAF00343,e7a419a1,TRIM21_SCAF_47
LR-SCAF00344,e7dc5dc6,VHL_SCAF_18
LR-SCAF00345,e8cf6b39,TRIM21_SCAF_27
LR-SCAF00346,eae92d5d,CRBN_SCAF_36
LR-SCAF00347,eccebd60,TRIM21_SCAF_35
LR-SCAF00348,ed5de95c,RNF146_SCAF_1
LR-SCAF00349,ee411f57,MDM2_SCAF_7
LR-SCAF00350,ef4106a4,XIAP_SCAF_11
LR-SCAF00351,f0230b28,TRIM21_SCAF_32
LR-SCAF00352,f02c7b93,CRBN_SCAF_13
LR-SCAF00353,f0ab0e88,XIAP_SCAF_25
LR-SCAF00354,f0e2956c,TRIM21_SCAF_75
LR-SCAF00355,f1399e56,TRIM21_SCAF_37
LR-SCAF00356,f19493ee,VHL_SCAF_10
LR-SCAF00357,f303ffb9,KEAP1_SCAF_69
LR-SCAF00358,f3e29005,XIAP_SCAF_2
LR-SCAF00359,f55f0cdc,TRIM21_SCAF_14
LR-SCAF00360,f5abcc43,VHL_SCAF_13
LR-SCAF00361,f5e74ae5,XIAP_SCAF_19
LR-SCAF00362,f6b8692a,VHL_SCAF_32
LR-SCAF00363,f6f80973,Cbl-b_SCAF_2
LR-SCAF00364,f8bbb460,KEAP1_SCAF_62
LR-SCAF00365,fafa892d,TRIM21_SCAF_44
LR-SCAF00366,fbabac0e,CRBN_SCAF_24
LR-SCAF00367,fda7e042,KEAP1_SCAF_9
LR-SCAF00368,fdba3dfb,CRBN_SCAF_40
LR-SCAF00369,fe02860c,MDM2_SCAF_40
LR-SCAF00370,fe15cea1,MDM2_SCAF_36
LR-SCAF00371,fe69d68f,KEAP1_SCAF_59
LR-SCAF00372,fff95c25,CRBN_SCAF_1
