Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
CRBN,LR-SCAF00346,1,eae92d5d,CRBN_SCAF_36,C1CNC[C@@H](N2CC3CCC([C@H]4CC(CN5CCCC5)C5CCNC5N4)C[C@@H]3C2)C1,C1CNC[C@@H](N2CC3CCC([C@H]4CC(CN5CCCC5)C5CCNC5N4)C[C@@H]3C2)C1,Polycyclic_Hetero,1.0587086762825491e-14,-5.317228139271416e-15,0.0732998868512264,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00352,1,f02c7b93,CRBN_SCAF_13,C1CCC2NN([C@H]3CCCNC3)NC2C1,C1CCC2NN([C@H]3CCCNC3)NC2C1,Polycyclic_Hetero,0.0,2.232448460327342e-15,-8.281663643149818e-16,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00366,1,fbabac0e,CRBN_SCAF_24,C1CCC2C(C1)NCN2[C@H]1CCCNC1,C1CCC2C(C1)NCN2[C@H]1CCCNC1,Polycyclic_Hetero,-1.6594912578607605e-15,1.653647978783786e-15,0.0745418288605922,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00368,1,fdba3dfb,CRBN_SCAF_40,C1CNC[C@@H](N2CC3CC[C@@H]([C@@H]4CC(CN5CCCC5)C5CCN(C6COC6)C5N4)CC3C2)C1,C1CNC[C@@H](N2CC3CC[C@@H]([C@@H]4CC(CN5CCCC5)C5CCN(C6COC6)C5N4)CC3C2)C1,Polycyclic_Hetero,-2.0674225383863154e-14,8.386865499276786e-15,-0.0188797219349805,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
Cbl-b,LR-SCAF00286,1,bf99e947,Cbl-b_SCAF_1,C1CCN(CC2CCC3NN(C4CCCC(C5(C6NCNN6)CCC5)C4)CN3C2)CC1,C1CCN(CC2CCC3NN(C4CCCC(C5(C6NCNN6)CCC5)C4)CN3C2)CC1,Polycyclic_Hetero,-3.2476945109824324e-14,-8.076872504148014e-15,0.0717810263888472,1,3,0.3333333333333333,1.0986122886681096,0.9999999999999998
Cbl-b,LR-SCAF00337,1,e3a2391e,Cbl-b_SCAF_3,C1CC(NCC2CCNC(C3CC3)N2)CC(C2CCNCO2)C1,C1CC(NCC2CCNC(C3CC3)N2)CC(C2CCNCO2)C1,Polycyclic_Hetero,7.271376483387079e-14,-3.615041988954896e-15,-0.058230205771007,1,3,0.3333333333333333,1.0986122886681096,0.9999999999999998
Cbl-b,LR-SCAF00363,1,f6f80973,Cbl-b_SCAF_2,C1CCN(CC2CCC3NN(C4CCCC(C5CCNCC5)C4)CN3C2)CC1,C1CCN(CC2CCC3NN(C4CCCC(C5CCNCC5)C4)CN3C2)CC1,Polycyclic_Hetero,-4.540968540156978e-15,6.479949597248801e-15,-0.0849867913430483,1,3,0.3333333333333333,1.0986122886681096,0.9999999999999998
DCAF1,LR-SCAF00098,5,45c0b344,DCAF1_SCAF_4,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,Polycyclic_Hetero,3.6070919493943864e-15,-5.709718412357948e-16,1.450087215836939e-16,1,25,0.2,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00025,2,0dad107d,DCAF1_SCAF_7,C1CCC(C2(C3C[C@@H]4CCCCC4C4NCCN43)CC2)CC1,C1CCC(C2(C3C[C@@H]4CCCCC4C4NCCN43)CC2)CC1,Polycyclic_Hetero,2.125284075711014e-15,8.580437947460139e-15,0.2036053606242764,1,25,0.08,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00173,2,7fb2ecd2,DCAF1_SCAF_6,C1CCC(CCC2CC3CCCCC3C3NCCN23)CC1,C1CCC(CCC2CC3CCCCC3C3NCCN23)CC1,Polycyclic_Hetero,4.247107716020599e-15,-7.872490538251111e-15,0.0103871757938689,1,25,0.08,2.675181144602197,0.9442215674348866
